raw	filter	volt	cm
642.00	647.13	3.15	6.54	
685.00	650.21	3.36	6.49	
642.00	644.91	3.15	6.57	
642.00	646.57	3.15	6.55	
689.00	652.25	3.38	6.45	
647.00	648.00	3.17	6.52	
643.00	647.00	3.15	6.54	
642.00	645.68	3.15	6.56	
642.00	649.81	3.15	6.49	
642.00	648.83	3.15	6.51	
642.00	647.05	3.15	6.54	
648.00	647.79	3.18	6.53	
643.00	648.83	3.15	6.51	
642.00	650.82	3.15	6.48	
642.00	649.64	3.15	6.50	
642.00	644.55	3.15	6.58	
643.00	646.96	3.15	6.54	
641.00	646.32	3.14	6.55	
